unit	object	kind	move	quote
0365	stirling_a	constant	name	it is the Stirling half's `stirling_a` 97 that would have to come down
0365	TRAPS row 37	trap	record	proposed row `row_new` 37 of `TRAPS.md`, which is in.
0365	the one sorry	theorem	close	The second root was the one sorry, the upper half of `phaseTheta_sub_le`
0366	section 14	section	verify	Section 14's mark moves to NO, verified on the two-sideband term
0366	L(ε, T, δ)	theorem	price	Section 13's gap-dependent `L` moves from OPEN to PRICED, conditional
0366	unit 0360's sign label	claim	correct	with 0360's sign label corrected in its text
0366	the gap hypothesis	hypothesis	name	no other off-line zero of the box has height distance from the target in `(lo/b, δ)`
0366	the rung's quantifier	theorem	narrow	The rung's `∀ configurations` at `L(ε, T)` becomes `∀ configurations with no member in that window` at `L(ε, T, δ)`
0366	the dichotomy module	module	hold	Whether that dichotomy is worth a Lean module is Julian's call
0367	the pin after 0362	pin	close	is DONE by this unit
0367	L(ε, T, δ) on the proven bound	theorem	price	Every cell closes.
0367	the lost factor	constant	price	The lost factor is at most `record.worst_ratio_int` 36 in `h`
0367	block 13e's free λ	block	verify	Block 13e's decision to make `λ` free is what makes these cells close
0367	the conditional theorem's module	module	hold	Whether the conditional theorem on `L(ε, T, δ)` becomes a Lean module is still Julian's call
0368	StmtDetectGap	theorem	name	`StmtDetectGap ε T δ L` unfolds to
0368	target_lower and on_line_le	theorem	prove	These are the two pieces of the assembly that carry from the tree without new work.
0368	the three placeholders	theorem	open	stated as `theorem _ : True := by trivial`
0368	isTest_phiWC	theorem	open	sorries at the ContDiff conjunct
0368	detect_gap_exists	theorem	open	`detect_gap_exists` sorries at the whole existence proof
0368	the C¹ indicator lemma	leaf	name	(a) a Mathlib lemma for the C¹ regularity of `Set.indicator (Icc (-h) h) f`
0368	the finiteness lemma	leaf	name	(b) enumeration of the `OffLineBox` as a `Finset`, which needs a finiteness lemma the tree does not carry
0368	the Mathlib PR	route	hold	Julian's call whether to file the Mathlib PR or restrict the theorem's statement
0369	offLineBox_finite	theorem	prove	`offLineBox_finite (ε T : ℝ) : (WeilDetect.OffLineBox ε T).Finite`
0369	the finiteness lemma	leaf	close	and `riemannZeta.zeroes_on_Compact_finite'` finishes it.
0369	the C¹ indicator lemma	leaf	open	my first pass hit cascading unification errors on the `congr` steps
0369	the C¹ indicator lemma	leaf	hold	That work belongs in its own unit
0370	contDiff_one_indicator_Icc	theorem	prove	The proof uses `contDiff_one_iff_deriv` to reduce to differentiability plus continuity of the derivative.
0370	the C¹ indicator lemma	leaf	close	The two lemmas unit 0368 named as blocking block 15 are both now in our tree
0370	TRAPS row 38	trap	record	`traps_added` 1 row, `row_new` 38
0370	the relay lesson	finding	find	The relay closed it in one pass, on the first model, with zero sorries.
0370	the follow-up unit	module	hold	Julian's call whether to attempt it in one relay pass or three.
0371	the three placeholders	theorem	prove	Three placeholders lifted to real signatures with clean pins.
0371	isTest_phiWC	theorem	narrow	`isTest_phiWC` narrowed.
0371	detect_gap_exists	theorem	open	unchanged in status but the chain is now written out in comments as steps (a)–(e)
0371	the assumed pins	pin	record	`assumed_pins` 3 pins the builder promoted into the header docstring for the foreman
0371	the follow-up units	module	hold	Julian's call whether to run them next or leave block 15 at this shape.
0372	phiW_contDiff_one	theorem	prove	New helper: `phiW_contDiff_one {h γ : ℝ} (hh : 0 < h) {m : ℕ} (hm : 1 ≤ m) : ContDiff ℝ 1 (phiW h γ m)`.
0372	isTest_phiWC	theorem	close	Pin's `#print axioms` docstring flipped from `[propext, sorryAx, Classical.choice, Quot.sound]` to `[propext, Classical.choice, Quot.sound]`.
0372	detect_gap_exists	theorem	open	One sorry, one goal, one route.
0373	the structural fill	theorem	revert	I reverted `detect_gap_exists` to a whole-theorem sorry with a comment naming the tendsto_exp route.
0373	detect_gap_exists	theorem	open	`detect_gap_exists` still sorries.
0373	the fill lesson	finding	find	A structural fill that commits to a wrong outer choice is worse than a whole-theorem sorry
0373	a further relay pass	module	hold	Whether to invest a further relay pass (or two or three) into the tendsto_exp assembly is Julian's call.
